repository,file_path,job_categorized,step,committed_date,from_state,to_state,time_to_next_days,from_commit_hash,to_commit_hash,why,what,who,why_v2,extended_action,why_refine,
gitql,.github/workflows/ci.yml,test,Cache node modules,2022-06-07 23:01,cache_version_update,cache_version_update,19.95731481,b14f6ad1015ee6c00d29286f61de0c506665559b,2677c509bcb84288389253e4ccac6ae418d4ebb6,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
dgs-framework,.github/workflows/ci.yml,build,<step_4>,2024-01-22 20:24,cache_version_update,cache_version_update,0,0e55116d65356e3cf0c195c1c923e0807769e23f,0e55116d65356e3cf0c195c1c923e0807769e23f,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
openexr,.github/workflows/bazel_build.yml,build,Mount Bazel cache,2024-12-10 2:14,cache_version_update,cache_version_update,0,fe40612593fa5e46660587249c5ac9cfb15c31fd,fe40612593fa5e46660587249c5ac9cfb15c31fd,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
config4k,.github/workflows/build-test.yml,other,<step_1>,2022-08-19 14:26,enable_cache,cache_version_update,0.041944444,45a01fa3418ab2aca9c84fbc73e9d631ebbe02f9,2ab28400ae7acb11d18cb753a3258a5d7d6c05c6,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
helmwave,.github/workflows/go-lint.yml,lint,<step_0>,2022-08-01 9:25,adding_parameter,cache_version_update,263.151713,40f3a44eea273664e0fa0ccc10af17feef6cec43,c578d363bbd1e3adbe8066a03daa583532164375,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
aepp-sdk-js,.github/workflows/main.yml,other,<step_2>,2024-04-09 5:43,updating_parameter,cache_version_update,0,1297791c41b7ece29fdeee6fd81123e067a1910d,1297791c41b7ece29fdeee6fd81123e067a1910d,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
dgs-framework,.github/workflows/ci.yml,build,Maven cache,2021-08-03 22:08,adding_cache,cache_version_update,252.2414468,f216ef06abeba7505a4841c620334de169668962,7779df12e4e066bc80f62bb2e7e2009420eb1d4d,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
metacat,.github/workflows/nebula-snapshot.yml,build,<step_4>,2021-08-17 19:40,enable_cache,cache_version_update,1273.063021,8613b7c5101de8533293b5473c600390a755894f,3d7d69277ad2775512dc0156162e459a707bf8bd,fixing_cache,adress_deprecation,Human,fixing_depreciated_version,upgrade,fixing_depreciated_version,
laravel-export,.github/workflows/run-tests.yml,test,Cache dependencies,2020-09-09 8:07,enable_cache,cache_version_update,568.0354745,07c29b0d3e06978ee0a3474b934fd44c28d74282,3815fd5f128ea6f81c26e56f171df6127a3c2232,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
dgs-framework,.github/workflows/ci.yml,build,<step_4>,2025-03-18 19:24,cache_version_update,cache_version_update,0,0e8cf5e8cb4514cfcd587b16c4616bdbbb051f06,0e8cf5e8cb4514cfcd587b16c4616bdbbb051f06,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
ember-osf-web,.github/workflows/CI.yml,integration,<step_2>,2021-06-02 15:50,updating_parameter,cache_version_update,1366.002176,59a18aed38fa151232735688bfe545062f756d4a,1cdfec919db06c458356876b4019a992ede8908d,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
avbuild,.github/workflows/build.yml,other,Restore sysroot cache,2022-12-23 4:50,cache_version_update,cache_version_update,0,0a31ac943cdb874cb4d9d8eccb0ae175a4a4aaf5,0a31ac943cdb874cb4d9d8eccb0ae175a4a4aaf5,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
hn-notifier,.github/workflows/mail.yaml,build,Configure pip caching,2020-07-20 20:35,enable_cache,cache_version_update,1564.580926,8901953962f043e2c3fe0322299d44d2cd5ed554,5fc1cdad1fab09399486ed26aa4d59aff0ac5259,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
aepp-sdk-js,.github/workflows/docs-develop.yml,other,<step_3>,2023-07-07 16:51,adding_cache,cache_version_update,276.5356944,428ebe63feac93c000d3303c12fb7b043ff04c8b,1297791c41b7ece29fdeee6fd81123e067a1910d,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
feast,.github/workflows/complete.yml,test,<step_2>,2020-12-22 9:05,updating_parameter,cache_version_update,0,17edb99941a6f3dfece4cc7dbefb49b9dbd38dea,17edb99941a6f3dfece4cc7dbefb49b9dbd38dea,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
para,.github/workflows/tag.yml,build,Cache Docker layers,2021-08-05 13:00,enable_cache,cache_version_update,1321.821053,76f11b4710f2ad0af4b2fae8aa8ed25396c0360f,62aa7ac0149cd8d91d54c4ea7772acdb4c7f898a,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
idea-php-typo3-plugin,.github/workflows/build.yml,test,Setup Gradle Wrapper Cache,2022-04-12 19:59,cache_version_update,cache_version_update,0,bc692a59705d761bb85fc4c81f6c012c2c727508,bc692a59705d761bb85fc4c81f6c012c2c727508,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
react-cool-onclickoutside,.github/workflows/ci.yml,build,<step_3>,2021-05-17 9:26,cache_version_update,cache_version_update,16.33760417,155b76e0f6bd893078283f5acebea9bbc9a7315a,84df1ddf19d71fd93a5b2c12e8de55b593f6f43f,human_maintainance,downgrade,Human,downgrade_cache_version,downgrade,update_dependency,
rororo,.github/workflows/ci.yml,other,Cache venv,2021-03-12 21:53,cache_version_update,cache_version_update,49.49461806,0a77a115f6dc544530cc5abc929e5b4d23b3daeb,b1899239e6f4927abd8949e6a0093797d933b80e,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
dgs-framework,.github/workflows/ci.yml,build,<step_4>,2025-03-31 21:18,cache_version_update,cache_version_update,0,e611e848419f0677f8c4206ba520abba5c817b9d,e611e848419f0677f8c4206ba520abba5c817b9d,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
magento-lts,.github/workflows/php-cs-fixer.yml,analyze,Cache dependencies,2023-01-03 8:30,enable_cache,cache_version_update,384.0190625,5621eacd3345949169e03ff27c9ca090f71ba198,39ff15f2b44ad4cc0d2a062462fd4dceb9afc7a1,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
idea-php-typo3-plugin,.github/workflows/build.yml,test,Setup Gradle Wrapper Cache,2022-11-08 22:57,cache_version_update,cache_version_update,0,24ee5820a0d7c63c113c9cde660ae6fb837e3322,24ee5820a0d7c63c113c9cde660ae6fb837e3322,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
hcloud-cloud-controller-manager,.github/workflows/test_e2e.yml,other,<step_0>,2024-05-31 9:32,removing_parameter,cache_version_update,0,77438db86dd32a2638377751f3e1e73272b1704e,77438db86dd32a2638377751f3e1e73272b1704e,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
gopium,.github/workflows/lint.yml,lint,setup,2020-06-08 18:39,enable_cache,cache_version_update,1413.237292,dd07cb4b0b424704b83e1ad1313eed7fc7b6d991,08781ba39e5e1b5ab3ee2e1225cb179f1e7d0863,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
aepp-sdk-js,.github/workflows/docs-develop.yml,other,<step_2>,2021-09-30 5:17,enable_cache,cache_version_update,645.4825,213abc33c4e1138c589e681d7606ad7b1619c71e,428ebe63feac93c000d3303c12fb7b043ff04c8b,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
dgs-framework,.github/workflows/nebula-publish.yml,build,<step_2>,2022-04-13 3:56,cache_version_update,cache_version_update,0,7779df12e4e066bc80f62bb2e7e2009420eb1d4d,7779df12e4e066bc80f62bb2e7e2009420eb1d4d,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
dgs-framework,.github/workflows/ci.yml,build,Cache Gradle packages,2024-03-12 18:50,cache_version_update,cache_version_update,0,a5aa16397a7ffa55aef6d7c5e099e862ccf94c62,a5aa16397a7ffa55aef6d7c5e099e862ccf94c62,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
dgs-framework,.github/workflows/ci.yml,build,Maven cache,2023-12-12 3:10,cache_version_update,cache_version_update,36.99921296,6a348ee4904b2369c872e28127e22ca7b11a7a9a,b509387d7096375e39884f4a1351ec32e0e2a8cb,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
howsmyssl,.github/workflows/go.yml,build,Set up Go,2022-05-28 23:08,updating_parameter,cache_version_update,324.1027083,864fcaaa3dcd92007bc118a99f85c0da42131d0e,bb0cf62c4836e93dfef3a89265c20081cd83dcd0,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
ut,.github/workflows/install.yml,build,<step_1>,2021-02-25 23:05,enable_cache,cache_version_update,642.5313194,0b6812b8b37951b6af178c8f445519796b33fe23,265199e173b16a75670fae62fc2446b9dffad39e,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
dgs-framework,.github/workflows/ci.yml,build,Maven cache,2022-10-17 23:10,cache_version_update,cache_version_update,192.8414931,4ce1c468327b009d7174cf6521e021d8aaf32760,f69ffe51ff101b756ac3b3e0365495a5e51c62ed,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
yolov5-rt-stack,.github/workflows/ci-test.yml,test,Cache dependencies,2021-11-04 10:53,enable_cache,cache_version_update,137.6731481,730d8f152e2b57495a04ed53588aab22e5b76028,7f81427d56e70c299f5cb70c2a5597c79256f0c7,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
feast,.github/workflows/java_pr.yml,test,uv cache,2024-05-01 17:32,adding_cache,cache_version_update,231.8254977,c86d594613b0fb1425451def4fc1d7a7496eea92,1119439c49bc90e62f02da078901509c1d740236,fixing_cache,adress_deprecation,Human,fixing_depreciated_version,upgrade,fixing_depreciated_version,
nats.java,.github/workflows/build-main.yml,build,Setup GO,2024-01-30 16:56,cache_version_update,cache_version_update,174.1326505,315142fee72a8b13d8633f9cd55accf0efda124a,606699eddb6bf4d1bf185c090319de158a55326b,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
gtimelog,.github/workflows/build.yml,build,Pip cache,2023-10-05 9:27,cache_version_update,cache_version_update,211.0293634,ba606cbe8eef0e3dc098c6ab3bcbe381bf7ef410,c7c3f2d8b72e9e8d66ff5fb47513c93228afe2bd,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
KnpMenuBundle,.github/workflows/build.yaml,test,Cache,2021-02-15 10:46,enable_cache,cache_version_update,676.1675347,d34e2e5cb7fd2d312622c495fdc30e70f09034b1,1cc92b9ea090c1b05ba32b4d743a55041018fd55,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
aepp-sdk-js,.github/workflows/docs-release.yml,other,<step_3>,2023-07-07 16:51,adding_parameter,cache_version_update,276.5356944,428ebe63feac93c000d3303c12fb7b043ff04c8b,1297791c41b7ece29fdeee6fd81123e067a1910d,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
arkitect,.github/workflows/build.yml,build,Cache Composer packages,2021-05-08 10:24,removing_cache,cache_version_update,1374.408553,3fe33b18072e7f4a1477e305fbb502c9ac780061,e162c85c1b807c31d5386bdef87d235633f6b239,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
avbuild,.github/workflows/build.yml,other,Restore sysroot cache,2022-12-23 4:50,cache_version_update,cache_version_update,0,0a31ac943cdb874cb4d9d8eccb0ae175a4a4aaf5,0a31ac943cdb874cb4d9d8eccb0ae175a4a4aaf5,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
openexr,.github/workflows/bazel_build.yml,build,Mount Bazel cache,2024-10-09 4:51,cache_version_update,cache_version_update,17.5305787,859b36a5ff3e413119c87a59711f0c658480d510,74e8710ae147fc8cb3449cd08ecc9982780ee54d,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
linkchecker,.github/workflows/build.yml,other,Pip cache,2022-10-31 19:22,cache_version_update,cache_version_update,508.0093287,740fce4df5d01f00798260460b65b16b813eafaf,10f1178912f3127665139034e14db64f0406a122,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
bootstrapcdn,.github/workflows/test.yml,test,Set up npm cache,2019-12-26 16:29,enable_cache,cache_version_update,160.5891898,2a499be9cd787236abdb79588d3f27c6d45838ca,d5aa6737946e2ca4bb30d7fe86d65f6757ec4dce,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
hcloud-cloud-controller-manager,.github/workflows/ci.yml,test,<step_1>,2023-11-06 9:08,adding_parameter,cache_version_update,0,7dcfc0d94c32120bccf7ea2d700616642fbf1733,7dcfc0d94c32120bccf7ea2d700616642fbf1733,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
goalert,.github/workflows/main.yml,test,<step_2>,2025-02-28 21:39,cache_version_update,cache_version_update,2.82869213,e35d78fe278d1d7923b41d534e1447640a1d9612,e336d6902af94e4463ddeeddc2f98574035a3f18,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
rxdb,.github/workflows/release.yml,build,Reuse npm cache folder,2023-11-21 9:25,updating_parameter,cache_version_update,57.86508102,76ab9084165ea9a158a852f94cbbbdbdc072818b,32a0bce8eeec492b844d1b7e66d095bacd9d644d,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
crocoddyl,.github/workflows/ros2-ci.yaml,integration,<step_1>,2024-05-31 12:43,updating_parameter,cache_version_update,0,da92f67394c07c987458a8cb24bc0e33edd64227,da92f67394c07c987458a8cb24bc0e33edd64227,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
hcloud-cloud-controller-manager,.github/workflows/goreleaser.yml,release,Set up Go,2022-09-13 7:34,updating_parameter,cache_version_update,184.2086111,48f685da1126aa7d601a8e30fe45996336bb487e,109e4b1ccd007c57c40bdf87b8f1193729c2b240,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
jbang,.github/workflows/ci-build.yml,build,<step_2>,2021-06-10 21:06,removing_cache,cache_version_update,103.0403704,e616b8e550128c438c6c7acb10acbc07451a0b5d,5ea6fc26c05d52bc8ae97755ed5c65f2c06ec4b9,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
gatsby-theme-carbon,.github/workflows/validate-and-build.yaml,build,Cache dependencies,2023-09-01 20:14,enable_cache,cache_version_update,152.8661458,a6aa60c3ac1c1d801e305adef76925b3185cb36c,7111a8f516d4aaa6c359ad4415c6bfaa8f25ac0a,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
remap,.github/workflows/production.yaml,release,Cache dependencies,2021-03-16 0:00,enable_cache,cache_version_update,1169.205243,9c477bba3f6c7bd2edf559f715d19f6dfaaef7ff,2b0ce1d047ff4ded81caf63c7e2be15af95b1424,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
config4k,.github/workflows/build-test.yml,other,<step_1>,2022-08-19 15:26,cache_version_update,cache_version_update,520.8050579,2ab28400ae7acb11d18cb753a3258a5d7d6c05c6,555559f50e205678a69af420fa76a83154bbb6fd,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
DeepSpeech,.github/workflows/macOS-amd64.yml,build,<step_7>,2021-04-15 16:32,adding_parameter,cache_version_update,0,673c5a1f4f9ebc460350b99a4e8ebf1d07d575f2,673c5a1f4f9ebc460350b99a4e8ebf1d07d575f2,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
idea-php-typo3-plugin,.github/workflows/build.yml,test,Setup Gradle Dependencies Cache,2022-11-08 22:57,cache_version_update,cache_version_update,0,24ee5820a0d7c63c113c9cde660ae6fb837e3322,24ee5820a0d7c63c113c9cde660ae6fb837e3322,bot_maintainance,upgrade,bot,automated_update,upgrade,bot_alert,
go-connections,.github/workflows/test.yml,lint,<step_1>,2023-11-10 21:12,updating_parameter,cache_version_update,530.4995833,481d3d26b3705da4932f3fb11d3b47a5b5abcb46,7c28a980c4f49b3aeeadc1bd341356d1164c3d71,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
easypost-php,.github/workflows/ci.yml,build,cache dependencies,2021-01-08 21:23,enable_cache,cache_version_update,440.8515972,fe577a0aa298dfd284f411c79f868da4e66ebf9c,eb8ed684f40de0e7f7e84cfcbe06abe02164b51b,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
kilo,.github/workflows/ci.yml,lint,Set up Go,2023-01-10 15:10,updating_parameter,cache_version_update,104.7971875,f3986e3097aff4e77b6893e617e7b0a12b3b438f,37f4ea52dc54563b3ec8ff69b4d322022ef9ba12,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
canvas,.github/workflows/go.yml,build,Set up Go,2022-10-17 19:16,updating_parameter,cache_version_update,155.2383796,ef37f25715bf553056c6d9bb88d2570b352e3a06,488c7c449be74fc65c6244d9d30592d809684d74,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
feast,.github/workflows/java_master_only.yml,test,<step_2>,2024-12-19 13:20,cache_version_update,cache_version_update,0,1119439c49bc90e62f02da078901509c1d740236,1119439c49bc90e62f02da078901509c1d740236,human_maintainance,upgrade,Human,non_automated_update,upgrade,update_dependency,
